video_id,publishing_date,view_count,title_on_youtube
MeFCYYCATw0,2009-10-01T03:58:09Z,3143,"Lec 9 | MIT 2.830J Control of Manufacturing Processes, S08"
0INq0CFpXpo,2009-10-01T04:14:10Z,2389,"Lec 10 | MIT 2.830J Control of Manufacturing Processes, S08"
zx_DA70lYww,2009-10-01T03:34:09Z,2955,"Lec 11 | MIT 2.830J Control of Manufacturing Processes, S08"
aHuYrIHveJo,2009-10-01T04:18:04Z,2041,"Lec 12 | MIT 2.830J Control of Manufacturing Processes, S08"
FuGcyIynuxg,2009-10-01T04:14:33Z,1851,"Lec 13 | MIT 2.830J Control of Manufacturing Processes, S08"
vHxLQwZtAD8,2009-10-01T04:07:23Z,1554,"Lec 14 | MIT 2.830J Control of Manufacturing Processes, S08"
ZUkM3_qPBo0,2009-10-01T04:24:18Z,4243,"Lec 15 | MIT 2.830J Control of Manufacturing Processes, S08"
AhKNoBxPkJs,2009-10-01T04:20:09Z,2017,"Lec 16 | MIT 2.830J Control of Manufacturing Processes, S08"
LIADaqdI1Y8,2009-10-01T04:37:50Z,1491,"Lec 17 | MIT 2.830J Control of Manufacturing Processes, S08"
6swIAqXcvDQ,2009-10-01T06:21:24Z,2607,"Lec 18 | MIT 2.830J Control of Manufacturing Processes, S08"
-EgKluVR2Ug,2009-10-01T03:57:20Z,2236,"Lec 19 | MIT 2.830J Control of Manufacturing Processes, S08"
qyAoSHisZtU,2009-10-01T04:11:56Z,2250,"Lec 20 | MIT 2.830J Control of Manufacturing Processes, S08"
qvX-3FWgAVA,2009-10-01T05:57:49Z,1641,"Lec 21 | MIT 2.830J Control of Manufacturing Processes, S08"
ra5yBfC9ztE,2009-10-01T05:50:28Z,2477,"Lec 22 | MIT 2.830J Control of Manufacturing Processes, S08"
izS-pGXFnrc,2011-11-08T18:04:38Z,18558,"Day 1 Part 1 | MIT 2.993 The Art and Science of Boat Design, IAP 2007"
sKZfwhrf81I,2011-11-08T19:43:53Z,7312,"Day 1 Part 2 | MIT 2.993 The Art and Science of Boat Design, IAP 2007"
RiQNhZ1P9qs,2011-11-08T17:43:14Z,69539,"Day 2 | MIT 2.993 The Art and Science of Boat Design, IAP 2007"
XDsfydo1gkM,2011-11-08T18:07:06Z,11245,"Day 4 | MIT 2.993 The Art and Science of Boat Design, IAP 2007"
JGgzgqIGgk0,2011-11-08T20:20:20Z,7515,"Day 5 | MIT 2.993 The Art and Science of Boat Design, IAP 2007"
hOZ6-geaRUo,2016-10-14T17:16:52Z,35782,"1. Introduction and Overview (MIT 3.054 Cellular Solids: Structure, Properties, Applications, S15)"
bDnia4HJRqk,2016-10-14T17:16:53Z,10818,2. Processing of Cellular Solids
q-9YlXesHtI,2016-10-14T17:16:53Z,7260,3. Structure of Cellular Solids
q-uLJN8upWE,2016-10-14T17:16:52Z,18949,4. Honeycombs: In-plane Behavior
Btl0HCfSPuU,2016-10-14T17:16:54Z,9933,5. Honeycombs: Out-of-plane Behavior
jJvVmdkiD3Y,2016-10-14T17:16:51Z,3025,6. Natural Honeycombs: Wood
5NUS6bcUXmY,2016-10-14T17:16:53Z,3316,7. Natural Honeycombs: Cork; Foams: Linear Elasticity
WiFahA1iAv4,2016-10-14T17:16:51Z,6320,8. Foams: Non-linear Elasticity
_tdj84EV7BI,2016-10-14T17:16:54Z,5838,9. Foams: Thermal Properties
cQpCPzetm3E,2016-10-14T17:16:53Z,3908,10. Exam Review
