video_titles,video_ids,video_number
"['LECTURE 1: ALGORITHMS AND COMPUTATION', 'LECTURE 2: DATA STRUCTURES AND DYNAMIC ARRAYS', 'PROBLEM SESSION 1', 'LECTURE 3: SETS AND SORTING', 'LECTURE 4: HASHING', 'PROBLEM SESSION 2', 'LECTURE 5: LINEAR SORTING', 'PROBLEM SESSION 3', 'LECTURE 6: BINARY TREES, PART 1', 'LECTURE 7: BINARY TREES, PART 2: AVL', 'PROBLEM SESSION 4', 'LECTURE 8: BINARY HEAPS', 'LECTURE 9: BREADTH-FIRST SEARCH', 'QUIZ 1 REVIEW', 'LECTURE 10: DEPTH-FIRST SEARCH', 'LECTURE 11: WEIGHTED SHORTEST PATHS', 'PROBLEM SESSION 5', 'LECTURE 12: BELLMAN-FORD', 'PROBLEM SESSION 6', 'LECTURE 13: DIJKSTRA', 'PROBLEM SESSION 7', 'LECTURE 14: APSP AND JOHNSON', 'QUIZ 2 REVIEW', 'LECTURE 15: DYNAMIC PROGRAMMING, PART 1: SRTBOT, FIB, DAGS, BOWLING', 'LECTURE 16: DYNAMIC PROGRAMMING, PART 2: LCS, LIS, COINS', 'PROBLEM SESSION 8', 'LECTURE 17: DYNAMIC PROGRAMMING, PART 3: APSP, PARENS, PIANO', 'LECTURE 18: DYNAMIC PROGRAMMING, PART 4: RODS, SUBSET SUM, PSEUDOPOLYNOMIAL', 'LECTURE 19: COMPLEXITY', 'QUIZ 3 REVIEW', 'LECTURE 20: COURSE REVIEW', 'LECTURE 21: ALGORITHMS—NEXT STEPS']","['ZA-tUyM_y7s', 'CHhwJjR0mZA', 'IPSaG9RRc-k', 'oS9aPzUNG-s', 'Nu8YGneFCWE', 'KlQiwkhLBg0', 'yndgIDO0zQQ', 'g0bXSXuLVb0', '76dhtgZt38A', 'U1JYwHcFfso', 'MAyraVVYB64', 'Xnpo1atN-Iw', 'oFVYVzlvk9c', 'e98MPnMHLxE', 'IBfWDYSffUU', '5cF5Bgv59Sc', 'ZLdooNwP7Pw', 'f9cVS_URPc0', 'kshe8d8rxHo', 'NSHizBK9JD8', 'WO6vQJ6Rhm8', 'EmSmaW-ud6A', 'vCIa2h1C9UQ', 'r4-cftqTcdI', 'KLBCUx1is2c', 'l_A-ig1n8CM', 'TDo3r5M1LNo', 'i9OAOk0CUQE', 'JbafQJx1CIA', 'wEKFGdo4Sck', '2NMtS1ecb3o', '4nXw-f6NJ9s']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]"
"['LECTURE 1: ALGORITHMIC THINKING, PEAK FINDING', 'LECTURE 2: MODELS OF COMPUTATION, DOCUMENT DISTANCE', 'LECTURE 3: INSERTION SORT, MERGE SORT', 'LECTURE 4: HEAPS AND HEAP SORT', 'LECTURE 5: BINARY SEARCH TREES, BST SORT', 'LECTURE 6: AVL TREES, AVL SORT', 'LECTURE 7: COUNTING SORT, RADIX SORT, LOWER BOUNDS FOR SORTING', 'LECTURE 8: HASHING WITH CHAINING', 'LECTURE 9: TABLE DOUBLING, KARP-RABIN', 'LECTURE 10: OPEN ADDRESSING, CRYPTOGRAPHIC HASHING', 'LECTURE 11: INTEGER ARITHMETIC, KARATSUBA MULTIPLICATION', ""LECTURE 12: SQUARE ROOTS, NEWTON'S METHOD"", 'LECTURE 13: BREADTH-FIRST SEARCH (BFS)', 'LECTURE 14: DEPTH-FIRST SEARCH (DFS), TOPOLOGICAL SORT', 'LECTURE 15: SINGLE-SOURCE SHORTEST PATHS PROBLEM', 'LECTURE 16: DIJKSTRA', 'LECTURE 17: BELLMAN-FORD', 'LECTURE 18: SPEEDING UP DIJKSTRA', 'LECTURE 19: DYNAMIC PROGRAMMING I: FIBONACCI, SHORTEST PATHS', 'LECTURE 20: DYNAMIC PROGRAMMING II: TEXT JUSTIFICATION, BLACKJACK', 'LECTURE 21: DYNAMIC PROGRAMMING III: PARENTHESIZATION, EDIT DISTANCE, KNAPSACK', 'LECTURE 22: DYNAMIC PROGRAMMING IV: GUITAR FINGERING, TETRIS, SUPER MARIO BROS.', 'LECTURE 23: COMPUTATIONAL COMPLEXITY', 'LECTURE 24: TOPICS IN ALGORITHMS RESEARCH']","['HtSuA80QTyo', 'Zc54gFhdpLA', 'Kg4bqzAqRBM', 'B7hVxCmfPtM', '9Jry5-82I68', 'FNeL18KsWPc', 'Nz1KZXbghj8', '0M_kIqhwbFo', 'BRO7mVIFt08', 'rvdJDijO2Ro', 'eCaXlAaN2uE', '2YeJ-5UAke8', 's-CYnVz-uh4', 'AfSk24UTFS8', 'Aa2sqUhIn-E', '2E7MmKv0Y24', 'ozsuci5pIso', 'CHvQ3q_gJ7E', 'OQ5jsbhAv_M', 'ENyox7kNKeY', 'ocZMDMZwhCY', 'tp4_UXaVyx8', 'moPtwq_cVH8', 'hkAONP0aC9w']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
[],[],[]
"['LECTURE 1: OVERVIEW: INFORMATION AND ENTROPY', 'LECTURE 2: COMPRESSION: HUFFMAN AND LZW', 'LECTURE 3: ERRORS, CHANNEL CODES', 'LECTURE 4: LINEAR BLOCK CODES, PARITY RELATIONS', 'LECTURE 5: ERROR CORRECTION, SYNDROME DECODING', 'LECTURE 6: CONVOLUTIONAL CODES', 'LECTURE 7: VITERBI DECODING', 'LECTURE 8: NOISE', 'LECTURE 9: TRANSMITTING ON A PHYSICAL CHANNEL', 'LECTURE 10: LINEAR TIME-INVARIANT (LTI) SYSTEMS', 'LECTURE 11: LTI CHANNEL AND INTERSYMBOL INTERFERENCE', 'LECTURE 12: FILTERS AND COMPOSITION', 'LECTURE 13: FREQUENCY RESPONSE OF LTI SYSTEMS', 'LECTURE 14: SPECTRAL REPRESENTATION OF SIGNALS', 'LECTURE 15: MODULATION/DEMODULATION', 'LECTURE 16: MORE ON MODULATION/DEMODULATION', 'LECTURE 17: PACKET SWITCHING', 'LECTURE 18: MAC PROTOCOLS', 'LECTURE 19: NETWORK ROUTING (WITHOUT FAILURES)', 'LECTURE 20: NETWORK ROUTING (WITH FAILURES)', 'LECTURE 21: RELIABLE TRANSPORT', ""LECTURE 22: SLIDING WINDOW ANALYSIS, LITTLE'S LAW"", 'LECTURE 23: A BRIEF HISTORY OF THE INTERNET', ""LECTURE 24: HISTORY OF THE INTERNET CONT'D, COURSE SUMMARY""]","['BtaVq2g17G0', 'WafWLM41pQ0', 'HkmAT9eVYSo', '5YyUArlg8Sg', 'jNzdhBVU620', 'ytGmd25_10k', 'POetF9rX7Zw', 'JJdzY3OTzEg', 'RG3CkwIDYfI', 'gF9Q0wNGENc', 'fQcJNoe-q-s', 'jQM_gpIXBFs', 'Te1qKOJd8aw', 'U1sAeMwdm6A', '7kpuZgm-3GY', 'QfaGCnfWpus', '9HCUnJB9ovk', 'y02p8znNAKk', '2QxgN2ugcMY', 'EG6PPYma050', 'qpYjftJbGYI', 'xa38Q2_pnlQ', 'oIezCGjxV3A', 'RN4gSBTANUY']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
"['LECTURE 1: INTRODUCTION AND SCOPE', 'LECTURE 2: REASONING: GOAL TREES AND PROBLEM SOLVING', 'LECTURE 3: REASONING: GOAL TREES AND RULE-BASED EXPERT SYSTEMS', 'LECTURE 4: SEARCH: DEPTH-FIRST, HILL CLIMBING, BEAM', 'LECTURE 5: SEARCH: OPTIMAL, BRANCH AND BOUND, A*', 'LECTURE 6: SEARCH: GAMES, MINIMAX, AND ALPHA-BETA', 'LECTURE 7: CONSTRAINTS: INTERPRETING LINE DRAWINGS', 'LECTURE 8: CONSTRAINTS: SEARCH, DOMAIN REDUCTION', 'LECTURE 9: CONSTRAINTS: VISUAL OBJECT RECOGNITION', 'LECTURE 10: INTRODUCTION TO LEARNING, NEAREST NEIGHBORS', 'LECTURE 11: LEARNING: IDENTIFICATION TREES, DISORDER', 'LECTURE 12A: NEURAL NETS', 'LECTURE 12B: DEEP NEURAL NETS', 'LECTURE 13: LEARNING: GENETIC ALGORITHMS', 'LECTURE 14: LEARNING: SPARSE SPACES, PHONOLOGY', 'LECTURE 15: LEARNING: NEAR MISSES, FELICITY CONDITIONS', 'LECTURE 16: LEARNING: SUPPORT VECTOR MACHINES', 'LECTURE 17: LEARNING: BOOSTING', 'LECTURE 18: REPRESENTATIONS: CLASSES, TRAJECTORIES, TRANSITIONS', 'LECTURE 19: ARCHITECTURES: GPS, SOAR, SUBSUMPTION, SOCIETY OF MIND', 'LECTURE 21: PROBABILISTIC INFERENCE I', 'LECTURE 22: PROBABILISTIC INFERENCE II', 'LECTURE 23: MODEL MERGING, CROSS-MODAL COUPLING, COURSE SUMMARY']","['TjZBTDzGeGg', 'PNKj529yY5c', 'leXa7EKUPFk', 'j1H3jAAGlEA', 'gGQ-vAmdAOI', 'STjW3eH0Cik', 'l-tzjenXrvI', 'dARl_gGrS4o', 'gvmfbePC2pc', '09mb78oiPkA', 'SXBG3RGr_Rc', 'uXt8qF2Zzfo', 'VrMHA3yX_QI', 'kHyNqSnzP8Y', 'L73hY1pBcQI', 'sh3EPjhhd40', '_PwhiWxHK8o', 'UHBmv7qCey4', 'bQI0OmJPby4', 'PimSbFGrwXM', 'A6Ud6oUCRak', 'EC6bf8JCpDQ', 'XPEJg_6Cg6o']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
[],[],[]
"['LECTURE 1: PROBABILITY MODELS AND AXIOMS', ""LECTURE 2: CONDITIONING AND BAYES' RULE"", 'LECTURE 3: INDEPENDENCE', 'LECTURE 4: COUNTING', 'LECTURE 5: DISCRETE RANDOM VARIABLES; PROBABILITY MASS FUNCTIONS; EXPECTATIONS', 'LECTURE 6: DISCRETE RANDOM VARIABLE EXAMPLES; JOINT PMFS', 'LECTURE 7: MULTIPLE DISCRETE RANDOM VARIABLES: EXPECTATIONS, CONDITIONING, INDEPENDENCE', 'LECTURE 8: CONTINUOUS RANDOM VARIABLES', 'LECTURE 9: MULTIPLE CONTINUOUS RANDOM VARIABLES', ""LECTURE 10: CONTINUOUS BAYES' RULE; DERIVED DISTRIBUTIONS"", 'LECTURE 11: DERIVED DISTRIBUTIONS; CONVOLUTION; COVARIANCE AND CORRELATION', 'LECTURE 12: ITERATED EXPECTATIONS; SUM OF A RANDOM NUMBER OF RANDOM VARIABLES', 'LECTURE 13: BERNOULLI PROCESS', 'LECTURE 14: POISSON PROCESS I', 'LECTURE 15: POISSON PROCESS II', 'LECTURE 16: MARKOV CHAINS I', 'LECTURE 17: MARKOV CHAINS II', 'LECTURE 18: MARKOV CHAINS III', 'LECTURE 19: WEAK LAW OF LARGE NUMBERS', 'LECTURE 20: CENTRAL LIMIT THEOREM', 'LECTURE 21: BAYESIAN STATISTICAL INFERENCE I', 'LECTURE 22: BAYESIAN STATISTICAL INFERENCE II', 'LECTURE 23: CLASSICAL STATISTICAL INFERENCE I', 'LECTURE 24: CLASSICAL INFERENCE II', 'LECTURE 25: CLASSICAL INFERENCE III; COURSE OVERVIEW']","['j9WZyLZCBzs', 'TluTv5V0RmE', '19Ql_Q3l0GA', '6oV3pKLgW2I', '3MOahpLxj6A', '-qCEoqpwjf4', 'EObHWIEKGjA', 'mHfn_7ym6to', 'CadZXGNauY0', 'H_k1w3cfny8', 'l4NoMKEHQwM', 'P7a4bjE6Crk', 'gMTiAeE0NCw', 'jsqSScywvMc', 'XsYXACeIklU', 'IkbkEtOOC1Y', 'ZulMqrvP-Pk', 'HIMxdWDLEK8', '3eiio3Tw7UQ', 'Tx7zzD4aeiA', '1jDBM9UM9xk', 'XtNXQJkgkhI', '4UJc0S8APm4', 'tBUHRpFZy0s', 'rYefUsYuEp0']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
[],[],[]
[],[],[]
"['LECTURE 1: INTRODUCTION AND PROOFS', 'LECTURE 2: INDUCTION', 'LECTURE 3: STRONG INDUCTION', 'LECTURE 4: NUMBER THEORY I', 'LECTURE 5: NUMBER THEORY II', 'LECTURE 6: GRAPH THEORY AND COLORING', 'LECTURE 7: MATCHING PROBLEMS', 'LECTURE 8: GRAPH THEORY II: MINIMUM SPANNING TREES', 'LECTURE 9: COMMUNICATION NETWORKS', 'LECTURE 10: GRAPH THEORY III', 'LECTURE 11: RELATIONS, PARTIAL ORDERS, AND SCHEDULING', 'LECTURE 12: SUMS', 'LECTURE 13: SUMS AND ASYMPTOTICS', 'LECTURE 14: DIVIDE AND CONQUER RECURRENCES', 'LECTURE 15: LINEAR RECURRENCES', 'LECTURE 16: COUNTING RULES I', 'LECTURE 17: COUNTING RULES II', 'LECTURE 18: PROBABILITY INTRODUCTION', 'LECTURE 19: CONDITIONAL PROBABILITY', 'LECTURE 20: INDEPENDENCE', 'LECTURE 21: RANDOM VARIABLES', 'LECTURE 22: EXPECTATION I', 'LECTURE 23: EXPECTATION II', 'LECTURE 24: LARGE DEVIATIONS', 'LECTURE 25: RANDOM WALKS']","['L3LMbpZIKhQ', 'z8HKWUWS-lA', 'NuGDkmwEObM', 'NuY7szYSXSw', 'XX7ePR21Ook', 'h9wxtqoa1jY', '5RSMLgy06Ew', 'GJpt_3ie4WU', 'bTyxpoi2dmM', 'DOIp5D7VMS4', '1nScXLQAQ9A', 'fAeShezAGLE', 'X9eErxRjQEI', 'Kqf0uO0oV6s', 'TWBB-JlmYUc', 'pNt5Ll6hGqo', '09yIb3VHhMI', 'SmFwFdESMHI', 'E6FbvM-FGZ8', 'l1BCv3qqW4A', 'MOfhhFaQdjw', 'gGlMSe7uEkA', 'oI9fMUqgfxY', 'q4mwO2qS2z4', '56iFMY8QW2k']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
"['LECTURE 1: ADMINISTRIVIA; INTRODUCTION; ANALYSIS OF ALGORITHMS, INSERTION SORT, MERGESORT', 'LECTURE 2: ASYMPTOTIC NOTATION; RECURRENCES; SUBSTITUTION, MASTER METHOD', 'LECTURE 3: DIVIDE-AND-CONQUER: STRASSEN, FIBONACCI, POLYNOMIAL MULTIPLICATION', 'LECTURE 4: QUICKSORT, RANDOMIZED ALGORITHMS', 'LECTURE 5: LINEAR-TIME SORTING: LOWER BOUNDS, COUNTING SORT, RADIX SORT', 'LECTURE 6: ORDER STATISTICS, MEDIAN', 'LECTURE 7: HASHING, HASH FUNCTIONS', 'LECTURE 8: UNIVERSAL HASHING, PERFECT HASHING', 'LECTURE 9: RELATION OF BSTS TO QUICKSORT - ANALYSIS OF RANDOM BST', 'LECTURE 10: RED-BLACK TREES, ROTATIONS, INSERTIONS, DELETIONS', 'LECTURE 11: AUGMENTING DATA STRUCTURES, DYNAMIC ORDER STATISTICS, INTERVAL TREES', 'LECTURE 12: SKIP LISTS', 'LECTURE 13: AMORTIZED ALGORITHMS, TABLE DOUBLING, POTENTIAL METHOD', 'LECTURE 14: COMPETITIVE ANALYSIS: SELF-ORGANIZING LISTS', 'LECTURE 15: DYNAMIC PROGRAMMING, LONGEST COMMON SUBSEQUENCE', 'LECTURE 16: GREEDY ALGORITHMS, MINIMUM SPANNING TREES', ""LECTURE 17: SHORTEST PATHS I: PROPERTIES, DIJKSTRA'S ALGORITHM, BREADTH-FIRST SEARCH"", 'LECTURE 18: SHORTEST PATHS II: BELLMAN-FORD, LINEAR PROGRAMMING, DIFFERENCE CONSTRAINTS', 'LECTURE 19: SHORTEST PATHS III: ALL-PAIRS SHORTEST PATHS, MATRIX MULTIPLICATION, FLOYD-WARSHALL, JOHNSON', 'LECTURE 22: ADVANCED TOPICS', 'LECTURE 23: ADVANCED TOPICS (CONT.)', 'LECTURE 24: ADVANCED TOPICS (CONT.)', 'LECTURE 25: ADVANCED TOPICS (CONT.) - DISCUSSION OF FOLLOW-ON CLASSES']","['JPyuH4qXLZ0', 'whjt_N9uYFI', '-EQTVuAhSFY', 'vK_q-C-kXhs', '0VqawRl3Xzs', 'mR_RUjsJnV8', 'JZHBa-rLrBA', 's7QSM_hlS1U', 'vgELyZ9LXX4', 'O3hI9FdxFOM', 'RHyGlha7bjE', 'kBwUoWpeH_Q', 'qh5lSHCBiRs', '2RxCCEHlEys', 'V5hZoJ6uK-s', 'FPEMBWg_WlY', 'xhG2DyCX3uA', 'Ttezuzs39nk', 'Sygq1e0xWnM', 'PYvJmLKhM-Y', 'F0VsQWWVWU4', 'cJOHERGcGm4', 'zjUDy6a5vx4']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
"['LECTURE 1: OVERVIEW, INTERVAL SCHEDULING', 'LECTURE 2: DIVIDE & CONQUER: CONVEX HULL, MEDIAN FINDING', 'LECTURE 3: DIVIDE & CONQUER: FFT', 'LECTURE 4: DIVIDE & CONQUER: VAN EMDE BOAS TREES', 'LECTURE 5: AMORTIZATION: AMORTIZED ANALYSIS', 'LECTURE 6: RANDOMIZATION: MATRIX MULTIPLY, QUICKSORT', 'LECTURE 7: RANDOMIZATION: SKIP LISTS', 'LECTURE 8: RANDOMIZATION: UNIVERSAL & PERFECT HASHING', 'LECTURE 9: AUGMENTATION: RANGE TREES', 'LECTURE 10: DYNAMIC PROGRAMMING: ADVANCED DP', 'LECTURE 11: DYNAMIC PROGRAMMING: ALL-PAIRS SHORTEST PATHS', 'LECTURE 12: GREEDY ALGORITHMS: MINIMUM SPANNING TREE', 'LECTURE 13: INCREMENTAL IMPROVEMENT: MAX FLOW, MIN CUT', 'LECTURE 14: INCREMENTAL IMPROVEMENT: MATCHING', 'LECTURE 15: LINEAR PROGRAMMING: LP, REDUCTIONS, SIMPLEX', 'LECTURE 16: COMPLEXITY: P, NP, NP-COMPLETENESS, REDUCTIONS', 'LECTURE 17: COMPLEXITY: APPROXIMATION ALGORITHMS', 'LECTURE 18: COMPLEXITY: FIXED-PARAMETER ALGORITHMS', 'LECTURE 19: SYNCHRONOUS DISTRIBUTED ALGORITHMS: SYMMETRY-BREAKING. SHORTEST-PATHS SPANNING TREES', 'LECTURE 20: ASYNCHRONOUS DISTRIBUTED ALGORITHMS: SHORTEST-PATHS SPANNING TREES', 'LECTURE 21: CRYPTOGRAPHY: HASH FUNCTIONS', 'LECTURE 22: CRYPTOGRAPHY: ENCRYPTION', 'LECTURE 23: CACHE-OBLIVIOUS ALGORITHMS: MEDIANS & MATRICES', 'LECTURE 24: CACHE-OBLIVIOUS ALGORITHMS: SEARCHING & SORTING']","['2P-yW7LQr08', 'EzeYI7p9MjU', 'iTMn0Kt18tg', 'hmReJCupbNU', '3MpzavN3Mco', 'cNB2lADK3_s', '2g9OSRKJuzM', 'z0lJ2k0sl1g', 'xVka6z1hu-I', 'Tw1k46ywN6E', 'NzgFUwOaoIw', 'tKwnms5iRBU', 'VYZGlgzr_As', '8C_T4iTzPCU', 'WwMz2fJwUCg', 'eHZifpgyH_4', 'MEz1J9wY2iM', '4q-jmGrmxKs', 'mUBmcbbJNf4', 'EQjwWn-WrdI', 'KqqOXndnvic', '9TNI2wHmaeI', 'CSqbjfCCLrU', 'C6EWVBNCxsc']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
"['LECTURE 1: INTRODUCTION AND MATRIX MULTIPLICATION', 'LECTURE 2: BENTLEY RULES FOR OPTIMIZING WORK', 'LECTURE 3: BIT HACKS', 'LECTURE 4: ASSEMBLY LANGUAGE & COMPUTER ARCHITECTURE', 'LECTURE 5: C TO ASSEMBLY', 'LECTURE 6: MULTICORE PROGRAMMING', 'LECTURE 7: RACES AND PARALLELISM', 'LECTURE 8: ANALYSIS OF MULTITHREADED ALGORITHMS', 'LECTURE 9: WHAT COMPILERS CAN AND CANNOT DO', 'LECTURE 10: MEASUREMENT AND TIMING', 'LECTURE 11: STORAGE ALLOCATION', 'LECTURE 12: PARALLEL STORAGE ALLOCATION', 'LECTURE 13: THE CILK RUNTIME SYSTEM', 'LECTURE 14: CACHING AND CACHE-EFFICIENT ALGORITHMS', 'LECTURE 15: CACHE-OBLIVIOUS ALGORITHMS', 'LECTURE 16: NONDETERMINISTIC PARALLEL PROGRAMMING', 'LECTURE 17: SYNCHRONIZATION WITHOUT LOCKS', 'LECTURE 18: DOMAIN SPECIFIC LANGUAGES AND AUTOTUNING', 'LECTURE 19: LEISERCHESS CODEWALK', 'LECTURE 20: SPECULATIVE PARALLELISM & LEISERCHESS', 'LECTURE 21: TUNING A TSP ALGORITHM', 'LECTURE 22: GRAPH OPTIMIZATION', 'LECTURE 23: HIGH PERFORMANCE IN DYNAMIC LANGUAGES']","['o7h_sYMk_oc', 'H-1-X9bkop8', 'ZusiKXcz_ac', 'L1ung0wil9Y', 'wt7a5BOztuM', 'dx98pqJvZVk', 'a_R_DpsENfk', '6I26_r1BKd8', 'ulJm7_aTiQM', 'LvX3g45ynu8', 'nmMUUuXhk2A', 'd5e_YJGXXFU', 'Z7r4aAZ9Vqo', 'xDKnMXtZKq8', 'xwE568oVQ1Y', 'mXkPCaZUXhg', '5sZo3SrLrGA', 'bd-mavr5YlA', 'euO8bqSW_Ow', 'gyaqXwi4BDk', 'SS5KfIFzfEE', 'IT_4fw6gfJw', '6JcMuFgnA6U']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
[],[],[]
"['LECTURE 1: INTRODUCTION AND PROBABILITY REVIEW', 'LECTURE 2: MORE REVIEW; THE BERNOULLI PROCESS', 'LECTURE 3: LAW OF LARGE NUMBERS, CONVERGENCE', 'LECTURE 4: POISSON (THE PERFECT ARRIVAL PROCESS)', 'LECTURE 5: POISSON COMBINING AND SPLITTING', 'LECTURE 6: FROM POISSON TO MARKOV', 'LECTURE 7: FINITE-STATE MARKOV CHAINS; THE MATRIX APPROACH', 'LECTURE 8: MARKOV EIGENVALUES AND EIGENVECTORS', 'LECTURE 9: MARKOV REWARDS AND DYNAMIC PROGRAMMING', 'LECTURE 10: RENEWALS AND THE STRONG LAW OF LARGE NUMBERS', 'LECTURE 11: RENEWALS: STRONG LAW AND REWARDS', ""LECTURE 12: RENEWAL REWARDS, STOPPING TRIALS, AND WALD'S INEQUALITY"", 'LECTURE 13: LITTLE, M/G/1, ENSEMBLE AVERAGES', 'LECTURE 14: REVIEW', 'LECTURE 15: THE LAST RENEWAL', 'LECTURE 16: RENEWALS AND COUNTABLE-STATE MARKOV', 'LECTURE 17: COUNTABLE-STATE MARKOV CHAINS', 'LECTURE 18: COUNTABLE-STATE MARKOV CHAINS AND PROCESSES', 'LECTURE 19: COUNTABLE-STATE MARKOV PROCESSES', 'LECTURE 20: MARKOV PROCESSES AND RANDOM WALKS', 'LECTURE 21: HYPOTHESIS TESTING AND RANDOM WALKS', 'LECTURE 22: RANDOM WALKS AND THRESHOLDS', 'LECTURE 23: MARTINGALES (PLAIN, SUB, AND SUPER)', 'LECTURE 24: MARTINGALES: STOPPING AND CONVERGING', 'LECTURE 25: PUTTING IT ALL TOGETHER']","['7CYXy9J4Aao', 'd4xfax4_Iww', 'k0UZNZwPO8Q', 'qxaBDDib9_A', 'ct0QGoi3n4Q', 'cE6OD7DkCSU', '-hlXwTx7EZE', 'GCFd0VVnWTw', 'mNGVkKeMUtc', 'uHMVJJHsym4', 'QWHtRR1jMEQ', '8KQR4NAl3Iw', 'pOhZUJ5BQXk', 'pY9ol9So2Yw', 'fY7NgCWCWoQ', 'k2PjTm1JyuI', 's98jdWi2kEs', '_IDgYAGKyuo', 'ImKFBTqLqdE', 'hzJpaNcAoko', 'goT94BheP3E', 'K-iHODiS0-8', 'GwVjWQykCDw', 'TOvSJkC1nRI', 'mq3nFovdG3o']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
"['LECTURE 1: INTRODUCTION TO BATTLECODE', 'LECTURE 2: WRITING YOUR FIRST PLAYER', 'LECTURE 3: NAVIGATION', 'LECTURE 4: GIT REPOSITORY', 'LECTURE 5: SWARMS, ARTILLERY, AND MINES', 'LECTURE 6: NUMERICAL STRATEGY', 'LECTURE 7: THE LOST LECTURE', 'LECTURE 8: LESSONS FROM THE SPRINT TOURNAMENT']","['BLExWo9Empk', 'Fl6fKzon8LI', 'PA3bcu83j38', 'g2NoQCEgsCM', 'dEXo0QyA-Rs', 'tbsYFzmk_24', 'pISCwkvKMZ0', '3j3Odfpvhrs']","[1, 2, 3, 4, 5, 6, 7, 8]"
[],[],[]
"['LECTURE 1: INTRODUCTION', 'LECTURE 2: DISCRETE SOURCE ENCODING', 'LECTURE 3: MEMORY-LESS SOURCES', 'LECTURE 4: ENTROPY AND ASYMPTOTIC EQUIPARTITION PROPERTY', 'LECTURE 5: MARKOV SOURCES', 'LECTURE 6: QUANTIZATION', 'LECTURE 7: HIGH RATE QUANTIZERS AND WAVEFORM ENCODING', 'LECTURE 8: MEASURE', 'LECTURE 9: DISCRETE-TIME FOURIER TRANSFORMS', 'LECTURE 10: DEGREES OF FREEDOM', 'LECTURE 11: SIGNAL SPACE', 'LECTURE 12: NYQUIST THEORY', 'LECTURE 13: RANDOM PROCESSES', 'LECTURE 14: JOINTLY GAUSSIAN RANDOM VECTORS', 'LECTURE 15: LINEAR FUNCTIONALS', 'LECTURE 16: REVIEW; INTRODUCTION TO DETECTION', 'LECTURE 17: DETECTION FOR RANDOM VECTORS AND PROCESSES', 'LECTURE 18: THEORY OF IRRELEVANCE', 'LECTURE 19: BASEBAND DETECTION', 'LECTURE 20: INTRODUCTION OF WIRELESS COMMUNICATION', 'LECTURE 21: DOPPLER SPREAD', 'LECTURE 22: DISCRETE-TIME BASEBAND MODELS FOR WIRELESS CHANNELS', 'LECTURE 23: DETECTION FOR FLAT RAYLEIGH FADING AND INCOHERENT CHANNELS', 'LECTURE 24: CASE STUDY ON CODE DIVISION MULTIPLE ACCESS']","['KXFF8m4uGDc', '503wzjz8czs', 'o8XojnApGc4', 'dSviy9E6Pz0', 'IgN5JQSh8w4', 'rei6tud0Tsg', 'wzUaJmN9Mf0', 'vulw9qGXbH0', 'QstZW4N4SX8', 'qU6NkB4xE7U', '_7qq1JYj2kM', 'skW0oXoAU0M', 'PMd2ZmcvMBI', 'zJ56b-aErN4', 'zB9aY8tzd74', '4TvgSw4SKdk', '_oKLtT7F9hg', '8PScXRfu2po', 'DnQruAbpusc', 'kJR59TZz1CI', '2DbwtCePzWg', 'zkR2TT7x8uQ', 'pQDVHvW19vI', 'cfL8blVkE1E']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
