course_id,video_number,video_id,mit_video_title,title_on_youtube,publishing_date,view_count,expected_views
62,1.0,8HvTaOrTokc,LECTURE 1: INTRODUCTION SAMPLING THEOREM,Lec 1 | MIT 6.451 Principles of Digital Communication II,2008-02-15 21:11:56+00:00,116046,116046
156,1.0,RDO6Py97IDg,LECTURE 1: A BRIDGE BETWEEN GRAPH THEORY AND ADDITIVE COMBINATORICS,1. A bridge between graph theory and additive combinatorics,2020-05-12 18:03:54+00:00,115712,115712
7,1.0,IYBYmOVmICg,LECTURE 1: COURSE ORGANIZATION; INTRODUCTION TO OPTICS,"Lec 1 | MIT 2.71 Optics, Spring 2009",2011-03-17 20:30:24+00:00,111903,111903
32,1.0,XxRjzphItU0,"LECTURE 1: QUANTUM MECHANICS—HISTORICAL BACKGROUND, PHOTOELECTRIC EFFECT, COMPTON SCATTERING","1. Quantum Mechanics—Historical Background, Photoelectric Effect, Compton Scattering",2019-01-09 16:18:05+00:00,109218,109218
225,1.0,zBJMh-m9b1E,"DEMONSTRATION 1: SAMPLING, ALIASING, AND FREQUENCY RESPONSE, PART 1",Demonstration 1: Sampling,2011-12-06 23:47:04+00:00,100769,100769
29,1.0,dxR06Mi8ExI,LECTURE 1: ATOMIC THEORY OF MATTER,"Lec 1 | MIT 5.112 Principles of Chemical Science, Fall 2005",2008-02-14 18:55:16+00:00,97868,97868
93,1.0,iwQ49oG-DO8,LECTURE 1: RESONANCE I,1. Resonance I,2015-03-23 21:36:06+00:00,97231,97231
6,1.0,LOVZE9WalRE,2011 LECTURE 1: INTRODUCTION,1. Introduction (2.627 Fundamentals of Photovoltaics),2014-03-20 20:46:50+00:00,94871,94871
8,1.0,kC2SEiGaqoA,1: INTRODUCTION — PROCESSES AND VARIATION FRAMEWORK,"Lec 1 | MIT 2.830J Control of Manufacturing Processes, S08",2009-10-01 03:48:25+00:00,86377,86377
80,1.0,KLb5CmPM7YY,LECTURE 12: CARBOHYDRATES/INTRODUCTION TO MEMBRANES,12. Carbohydrates/Introduction to Membranes,2021-07-19 15:31:22+00:00,83675,83675
97,1.0,EUnGZoBa3nc,LECTURE 1: EMERGENCE OF GRAVITY,1. Emergence of Gravity,2016-03-02 21:25:35+00:00,83541,83541
133,1.0,62nDLA_A8gs,LECTURE 1: OVERVIEW AND INTRODUCTION,"1. Course Overview and Introduction (MIT 15.S50 How to Win at Texas Hold 'Em, January IAP 2016)",2017-07-26 22:52:50+00:00,83027,83027
198,1.0,5AjzlkahiL0,LESSON 1: PART 1 - LANGUAGE INSTRUCTION,Lesson 1: Part 1 - Language Instruction,2013-08-13 18:13:31+00:00,78251,78251
140,1.0,J_y2I09rj_I,SESSION 2: REQUIREMENTS DEFINITION,2. Requirements Definition,2017-08-10 16:17:44+00:00,77193,77193
73,1.0,vof7x8r_ZUA,LECTURE 1: WHAT MAKES HEALTHCARE UNIQUE?,1. What Makes Healthcare Unique?,2020-10-22 19:38:19+00:00,75168,75168
92,1.0,2MaQKFHqYBw,"LECTURE 1: COLLECTIVE BEHAVIOR, FROM PARTICLES TO FIELDS PART 1","1. Collective Behavior, from Particles to Fields Part 1",2015-05-14 17:01:16+00:00,73343,73343
69,1.0,7d73E1DiH0w,LECTURE 1: OVERVIEW,1. Overview,2015-07-14 18:35:05+00:00,72076,72076
103,1.0,PnJEj6TokDA,1. OVERVIEW AND IONIC CURRENTS,1: Course Overview and Ionic Currents - Intro to Neural Computation,2020-06-29 16:12:20+00:00,68504,68504
137,1.0,T1K4pkhtad8,SES. 1-2 THE START OF YOUR LEAN JOURNEY,Ses. 1-2: The Start of Your Lean Journey,2014-03-06 15:31:00+00:00,68199,68199
